"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PEX12",8.22147629124067,-1.30068475987193,0.517356109854472,-2.5140995440023,0.0119336744925764,0.0414069024700599
"SCAT8",33.9076319371653,-1.29802180812552,0.309920999012417,-4.18823446059398,2.81132996525763e-05,0.000286283976283112
"PYGO2",342.499199924573,-1.29710396025906,0.226511129959873,-5.72644691008715,1.02555836122327e-08,4.47283864242071e-07
"COMMD3",40.6232835986889,-1.29586615337095,0.259801908771026,-4.98790081836178,6.10388889865155e-07,1.19781265318093e-05
"ARL4D",23.9870254337994,-1.29539250773839,0.356813761201811,-3.6304443622782,0.000282933691785154,0.00192216125312329
"MYCL",1170.91262450531,-1.29472504798449,0.25581592062512,-5.06115899597123,4.16715517323025e-07,8.63341625784915e-06
"TMEM176B",4053.96754572835,-1.29257942821526,0.525781695465333,-2.45839564093476,0.0139559331112085,0.0470330502243977
"CEP250-AS1",7.76581824135935,-1.28823605433489,0.462322362348282,-2.78644547452028,0.00532895823645315,0.0214965981505769
"RNASEH2B-AS1",11.8543833801334,-1.27592180267053,0.488219893903496,-2.61341624666105,0.00896420517269923,0.0328546315739899
"ALDH8A1",8.51204356903661,-1.27031469256365,0.493633649756039,-2.57339566131981,0.010070600667059,0.0360649216420396
"ZNF490",44.4024572874289,-1.26899621575078,0.233373411157712,-5.4376212330941,5.3996609055216e-08,1.68685028428537e-06
"TRIM68",75.6558261699555,-1.26395997937456,0.241241700446757,-5.23939259685959,1.61105975734146e-07,3.99496101439414e-06
"GVINP1",462.24505767759,-1.26348251476416,0.248286568449704,-5.08880735133324,3.60322424504959e-07,7.71632885386488e-06
"ZNF382",7.01589898483192,-1.26299893022727,0.519139164620947,-2.43287160033371,0.0149796118280281,0.0497590904633827
"SUV39H2",23.5274395894488,-1.26023896720639,0.303466408758229,-4.15281207683985,3.28414427401618e-05,0.000326183549888088
"NDUFAF4",51.7734850620584,-1.26021291631912,0.232745950761565,-5.41454281887867,6.14454985669728e-08,1.87361504861139e-06
"ESRP2",11.5721158985005,-1.25967146692268,0.46925274032757,-2.68442005483728,0.00726557572634861,0.02777611226031
"APAF1",1679.1946046595,-1.25585725331608,0.197261815465985,-6.36644882512824,1.93454804197105e-10,1.77878700890101e-08
"CKMT2-AS1",26.465829465373,-1.24996986613791,0.380836163118994,-3.2821721968335,0.00103010678288259,0.00563651680768699
"DCAF12",662.228380056829,-1.24969948619359,0.206945167160478,-6.03879521972356,1.55269142960356e-09,9.4852430552289e-08
"ZNF780A",74.323545243237,-1.24862203012106,0.487873553087571,-2.55931485160243,0.010487870577761,0.0372897419505881
"NLRC4",850.452616108742,-1.24727206725005,0.216243504088463,-5.76790536440716,8.02628526929308e-09,3.69002259365077e-07
"ZKSCAN1",1089.32593354436,-1.24723077541498,0.202021527983532,-6.17375181676997,6.66881972289159e-10,4.72057167527541e-08
"DDIAS",103.95808606474,-1.24576708698556,0.245680155128616,-5.07068666711558,3.96382912657087e-07,8.26013831305738e-06
"ZNF404",9.61025469685121,-1.24536366139266,0.448896914882752,-2.77427538506906,0.00553248238385623,0.0221622323744055
"MAP10",68.9343542171815,-1.24019017659722,0.211320576544057,-5.86876203386971,4.3906106929879e-09,2.23770610118623e-07
"MSH2",91.4676588909721,-1.23913222527215,0.334025802116941,-3.70969014195598,0.000207513061679755,0.00149226676991657
"ADGRB3",8.95716720990458,-1.23390999314641,0.455136707978632,-2.71107553294589,0.00670653469392447,0.0260350741828563
