"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SNX22",31.9693132579602,0.761309735536578,0.397413109057697,1.91566336938837,0.0554079578488616,0.138252504141557
"PIK3AP1",6532.01621389199,-0.209259678799458,0.10924976843371,-1.91542446084388,0.0554383941261259,0.138309101317739
"BET1",77.3021209091934,-0.514610114069573,0.268744484406242,-1.91486763051729,0.0555093868269926,0.138466849702125
"COL7A1",58.8129282064093,0.506683010640986,0.264635574925799,1.91464435869234,0.0555378739844046,0.138518539727882
"HLA-DQA1",2862.31311855314,0.69925242149524,0.365271775161293,1.91433466543226,0.0555774077817917,0.138597763177911
"ARHGEF40",3597.1370842436,-0.204747657678072,0.106960995890351,-1.91422729354507,0.0555911197796299,0.138604081487491
"LEMD3",666.341665127332,0.197137120494505,0.102990331085795,1.91413231141359,0.055603251884992,0.138604081487491
"FMR1",783.049911127039,-0.158867965593165,0.082997265645976,-1.91413493392438,0.0556029168810366,0.138604081487491
"MIX23",42.7698870334607,-0.406628865244321,0.212473840853759,-1.91378319142917,0.0556478640768532,0.138676529673499
"ZNF592",2750.74638031256,0.150667011920668,0.0787271591668666,1.91378697663053,0.0556473802261777,0.138676529673499
"SERGEF",95.094894589706,-0.267920528681333,0.140006897639558,-1.91362377995893,0.0556682443383185,0.138688567389235
"TYMS",3.43388101774025,1.26698483715326,0.662076729275708,1.91365257398384,0.0556645626515493,0.138688567389235
"PARVB",634.597847541512,0.225578767707742,0.117884551446691,1.91355665300853,0.0556768281708709,0.138690582448261
"ZKSCAN8P1",7.7606144761512,-1.24171721020309,0.648954192251977,-1.91341272624209,0.0556952364667273,0.138717066195683
"PPIAP2",2.68586391485497,-1.5591589414422,0.814990769461246,-1.91310012317427,0.0557352360012328,0.138777936877441
"MTSS2",16.569370737061,0.58639138031814,0.306506243442567,1.91314660912615,0.0557292863161113,0.138777936877441
"PHLDB2",3.54799150973743,1.42217233391439,0.743496057775037,1.91281758530144,0.0557714090912209,0.138843344083172
"RHBDF1",5.41862375126045,1.2048301702774,0.629886524339721,1.91277337063269,0.0557770716279857,0.138843344083172
"SART3",573.744949086988,-0.191457119108156,0.100097861850958,-1.91269938805715,0.0557865475875515,0.138847556281114
"CRYZP1",4.54293359533702,-1.10338431461398,0.57695206464803,-1.91243672086883,0.0558202017975851,0.138911936337238
"CROCCP3",88.5600603185044,-0.46099954338744,0.241071162932351,-1.91229650937887,0.0558381733042304,0.138937276524043
"FBXO40",20.6342830036774,0.765512033564685,0.400359241679873,1.91206285223406,0.0558681328481433,0.138992434274084
"LYSMD2",258.7690884226,-0.292647260606138,0.153070339959703,-1.91184824364523,0.0558956617793545,0.139041530444865
"CNN2P9",26.2318047693639,-0.446248087247925,0.233436094737081,-1.91164990037437,0.0559211143212326,0.139085448586468
"ATP11A-AS1",5.28575610126182,-1.69577463036257,0.887324202932543,-1.9111105329463,0.0559903778534181,0.139238304774749
"ITGB2-AS1",942.213024669696,0.350463027727385,0.183390389958684,1.91102177058646,0.0560017832247574,0.139247255249961
"ROBO3",71.8173089311909,0.547056395753257,0.286282495509338,1.91089711852611,0.0560178034497914,0.139248343314603
"MIOS-DT",11.1495728941122,0.717887393873932,0.375680864427471,1.91089688575961,0.0560178333684039,0.139248343314603
"EIF2S2P3",10.4480196028292,-0.823857565892654,0.431312848634007,-1.91011598310104,0.0561182815312491,0.13946745693996
"FTSJ1",463.455827659251,0.18632785889794,0.097549252602196,1.91009007170748,0.0561216171047783,0.13946745693996
"DYNLT2",10.2412159517497,0.762032586167676,0.399100237217605,1.90937643004253,0.0562135491003659,0.139676457564052
